"","playerID","stint","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH"
"471","barkbr01",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472","barkean01",1,17,46,5,14,2,0,1,3,1,0,4,7,1,1,0
"473","barkegl01",3,235,164,53,38,4,1,3,18,30,18,21,48,0,4,6
"474","barkeke01",5,126,285,32,71,12,0,6,36,3,0,34,65,2,1,0
"475","barkele01",13,248,63,3,3,1,0,0,1,0,1,6,31,0,0,6
"476","barkera01",6,192,318,34,68,16,0,10,44,1,0,29,76,6,3,3
"477","barkeri01",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478","barkese01",1,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0
"479","barklbr01",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480","barklje01",2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481","barlomi01",7,133,3,0,0,0,0,0,0,0,0,0,1,0,0,0
"482","barmecl01",13,1186,3805,434,932,208,17,89,415,43,30,216,734,32,60,60
"483","barneau01",2,41,61,7,11,3,0,0,3,1,0,11,15,0,1,1
"484","barnebr01",7,116,107,3,15,0,0,0,4,0,0,10,51,0,0,11
"485","barnebr02",5,465,1153,131,279,56,9,19,100,22,20,65,353,3,13,19
"486","barneda01",11,685,2200,263,547,103,15,25,176,22,7,137,285,11,22,20
"487","barneda02",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"488","barnefr02",3,21,10,3,1,0,0,0,0,0,1,0,3,0,0,0
"489","barneja01",1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490","barnejo01",2,20,58,6,14,4,0,0,2,0,1,3,9,0,3,0
"491","barneju01",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492","barnela01",2,46,78,4,12,2,0,1,4,0,0,2,18,0,0,0
"493","barnelu01",2,27,74,7,18,2,2,0,7,0,1,6,5,1,0,0
"494","barnema01",3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495","barneri01",2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"496","barnesc01",2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"497","barnesk01",9,353,614,95,159,30,4,14,83,20,18,41,74,3,4,8
"498","barneto01",1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
